Latitude,Longitude,state_id,state_name,county_name,population,density,Nearby Cities
42.15,-75.05,NY,New York,Delaware,315,27.7,Downsville
42.25,-75.05,NY,New York,Delaware,385,195.7,Franklin
42.35,-75.05,"NY, NY, NY, NY, NY","New York, New York, New York, New York, New York","Otsego, Otsego, Delaware, Delaware, Otsego",17357,1835,"Oneonta, West End, Davenport Center, Franklin, Wells Bridge"
42.45,-75.05,"NY, NY, NY, NY, NY, NY","New York, New York, New York, New York, New York, New York","Otsego, Otsego, Delaware, Delaware, Otsego, Otsego",17339,1831.9,"Oneonta, West End, Davenport Center, Franklin, Portlandville, Mount Vision"
42.55,-75.05,"NY, NY, NY, NY, NY, NY, NY","New York, New York, New York, New York, New York, New York, New York","Otsego, Otsego, Delaware, Otsego, Otsego, Otsego, Otsego",17395,1734.1,"Oneonta, West End, Davenport Center, Hartwick Seminary, Garrattsville, Portlandville, Mount Vision"
42.65,-75.05,"NY, NY, NY, NY, NY, NY, NY, NY","New York, New York, New York, New York, New York, New York, New York, New York","Otsego, Otsego, Otsego, Otsego, Otsego, Otsego, Otsego, Otsego",3169,768.5,"Cooperstown, Hartwick Seminary, Fly Creek, Burlington Flats, Garrattsville, Portlandville, Mount Vision, Schuyler Lake"
42.75,-75.05,"NY, NY, NY, NY, NY, NY, NY, NY","New York, New York, New York, New York, New York, New York, New York, New York","Otsego, Otsego, Otsego, Otsego, Otsego, Otsego, Otsego, Otsego",4483,1167.2,"Cooperstown, Richfield Springs, Springfield Center, Hartwick Seminary, Fly Creek, Burlington Flats, Garrattsville, Schuyler Lake"
42.85,-75.05,"NY, NY, NY, NY, NY, NY, NY, NY","New York, New York, New York, New York, New York, New York, New York, New York","Otsego, Herkimer, Otsego, Otsego, Otsego, Herkimer, Otsego, Otsego",3247,1134.6,"Richfield Springs, West Winfield, Springfield Center, Fly Creek, Unadilla Forks, South Ilion, Burlington Flats, Schuyler Lake"
42.95,-75.05,"NY, NY, NY, NY, NY, NY, NY","New York, New York, New York, New York, New York, New York, New York","Herkimer, Otsego, Herkimer, Herkimer, Herkimer, Oneida, Herkimer",11550,2941.1,"Ilion, Richfield Springs, West Winfield, East Herkimer, East Frankfort, Clayville, South Ilion"
43.05,-75.05,"NY, NY, NY, NY, NY, NY, NY","New York, New York, New York, New York, New York, New York, New York","Oneida, Herkimer, Herkimer, Herkimer, Herkimer, Herkimer, Herkimer",131175,4136.2,"Utica, Ilion, Little Falls, East Herkimer, Middleville, East Frankfort, South Ilion"
43.15,-75.05,"NY, NY, NY, NY, NY, NY, NY","New York, New York, New York, New York, New York, New York, New York","Oneida, Herkimer, Herkimer, Herkimer, Herkimer, Herkimer, Herkimer",126796,3864.7,"Utica, Ilion, East Herkimer, Middleville, East Frankfort, Cold Brook, South Ilion"
43.25,-75.05,"NY, NY, NY, NY","New York, New York, New York, New York","Herkimer, Oneida, Oneida, Herkimer",1392,963.8,"Middleville, Holland Patent, Prospect, Cold Brook"
43.35,-75.05,"NY, NY","New York, New York","Oneida, Herkimer",492,437.6,"Prospect, Cold Brook"
43.45,-75.05,"NY, NY","New York, New York","Oneida, Oneida",202,93.4,"White Lake, Otter Lake"
43.55,-75.05,"NY, NY, NY","New York, New York, New York","Herkimer, Oneida, Oneida",430,251.3,"Thendara, White Lake, Otter Lake"
43.65,-75.05,"NY, NY, NY, NY","New York, New York, New York, New York","Herkimer, Herkimer, Oneida, Oneida",1003,375.2,"Old Forge, Thendara, White Lake, Otter Lake"
43.75,-75.05,"NY, NY","New York, New York","Herkimer, Herkimer",801,281.8,"Old Forge, Thendara"
43.85,-75.05,"NY, NY","New York, New York","Herkimer, Herkimer",801,281.8,"Old Forge, Thendara"
43.95,-75.05,,,,0,0,No cities found
44.05,-75.05,NY,New York,St. Lawrence,649,57.8,Star Lake
44.15,-75.05,"NY, NY","New York, New York","St. Lawrence, St. Lawrence",773,60.3,"Star Lake, Cranberry Lake"
44.25,-75.05,"NY, NY","New York, New York","St. Lawrence, St. Lawrence",773,60.3,"Star Lake, Cranberry Lake"
44.35,-75.05,,,,0,0,No cities found
44.45,-75.05,,,,0,0,No cities found
44.55,-75.05,NY,New York,St. Lawrence,892,67.2,Hannawa Falls
44.65,-75.05,"NY, NY","New York, New York","St. Lawrence, St. Lawrence",2174,303.5,"Norwood, Hannawa Falls"
44.75,-75.05,"NY, NY","New York, New York","St. Lawrence, St. Lawrence",2174,303.5,"Norwood, Hannawa Falls"
44.85,-75.05,NY,New York,St. Lawrence,1282,236.3,Norwood
44.95,-75.05,,,,0,0,No cities found
45.05,-75.05,,,,0,0,No cities found
45.15,-75.05,,,,0,0,No cities found
45.25,-75.05,,,,0,0,No cities found
45.35,-75.05,,,,0,0,No cities found
45.45,-75.05,,,,0,0,No cities found
45.55,-75.05,,,,0,0,No cities found
45.65,-75.05,,,,0,0,No cities found
45.75,-75.05,,,,0,0,No cities found
45.85,-75.05,,,,0,0,No cities found
45.95,-75.05,,,,0,0,No cities found
46.05,-75.05,,,,0,0,No cities found
46.15,-75.05,,,,0,0,No cities found
46.25,-75.05,,,,0,0,No cities found
46.35,-75.05,,,,0,0,No cities found
46.45,-75.05,,,,0,0,No cities found
46.55,-75.05,,,,0,0,No cities found
46.65,-75.05,,,,0,0,No cities found
46.75,-75.05,,,,0,0,No cities found
46.85,-75.05,,,,0,0,No cities found
46.95,-75.05,,,,0,0,No cities found
47.05,-75.05,,,,0,0,No cities found
47.15,-75.05,,,,0,0,No cities found
47.25,-75.05,,,,0,0,No cities found
47.35,-75.05,,,,0,0,No cities found
47.45,-75.05,,,,0,0,No cities found
47.55,-75.05,,,,0,0,No cities found
47.65,-75.05,,,,0,0,No cities found
47.75,-75.05,,,,0,0,No cities found
47.85,-75.05,,,,0,0,No cities found
47.95,-75.05,,,,0,0,No cities found
48.05,-75.05,,,,0,0,No cities found
48.15,-75.05,,,,0,0,No cities found
48.25,-75.05,,,,0,0,No cities found
48.35,-75.05,,,,0,0,No cities found
48.45,-75.05,,,,0,0,No cities found
48.55,-75.05,,,,0,0,No cities found
48.65,-75.05,,,,0,0,No cities found
48.75,-75.05,,,,0,0,No cities found
48.85,-75.05,,,,0,0,No cities found
48.95,-75.05,,,,0,0,No cities found
49.05,-75.05,,,,0,0,No cities found
49.15,-75.05,,,,0,0,No cities found
49.25,-75.05,,,,0,0,No cities found
49.35,-75.05,,,,0,0,No cities found
49.45,-75.05,,,,0,0,No cities found
49.55,-75.05,,,,0,0,No cities found
49.65,-75.05,,,,0,0,No cities found
49.75,-75.05,,,,0,0,No cities found
49.85,-75.05,,,,0,0,No cities found
49.95,-75.05,,,,0,0,No cities found
24.05,-74.95,,,,0,0,No cities found
24.15,-74.95,,,,0,0,No cities found
24.25,-74.95,,,,0,0,No cities found
24.35,-74.95,,,,0,0,No cities found
24.45,-74.95,,,,0,0,No cities found
24.55,-74.95,,,,0,0,No cities found
24.65,-74.95,,,,0,0,No cities found
24.75,-74.95,,,,0,0,No cities found
24.85,-74.95,,,,0,0,No cities found
24.95,-74.95,,,,0,0,No cities found
25.05,-74.95,,,,0,0,No cities found
25.15,-74.95,,,,0,0,No cities found
25.25,-74.95,,,,0,0,No cities found
25.35,-74.95,,,,0,0,No cities found
25.45,-74.95,,,,0,0,No cities found
25.55,-74.95,,,,0,0,No cities found
25.65,-74.95,,,,0,0,No cities found
25.75,-74.95,,,,0,0,No cities found
25.85,-74.95,,,,0,0,No cities found
25.95,-74.95,,,,0,0,No cities found
26.05,-74.95,,,,0,0,No cities found
26.15,-74.95,,,,0,0,No cities found
26.25,-74.95,,,,0,0,No cities found
26.35,-74.95,,,,0,0,No cities found
26.45,-74.95,,,,0,0,No cities found
26.55,-74.95,,,,0,0,No cities found
26.65,-74.95,,,,0,0,No cities found
26.75,-74.95,,,,0,0,No cities found
26.85,-74.95,,,,0,0,No cities found
26.95,-74.95,,,,0,0,No cities found
27.05,-74.95,,,,0,0,No cities found
27.15,-74.95,,,,0,0,No cities found
27.25,-74.95,,,,0,0,No cities found
27.35,-74.95,,,,0,0,No cities found
27.45,-74.95,,,,0,0,No cities found
27.55,-74.95,,,,0,0,No cities found
27.65,-74.95,,,,0,0,No cities found
27.75,-74.95,,,,0,0,No cities found
27.85,-74.95,,,,0,0,No cities found
27.95,-74.95,,,,0,0,No cities found
28.05,-74.95,,,,0,0,No cities found
28.15,-74.95,,,,0,0,No cities found
28.25,-74.95,,,,0,0,No cities found
28.35,-74.95,,,,0,0,No cities found
28.45,-74.95,,,,0,0,No cities found
28.55,-74.95,,,,0,0,No cities found
28.65,-74.95,,,,0,0,No cities found
28.75,-74.95,,,,0,0,No cities found
28.85,-74.95,,,,0,0,No cities found
28.95,-74.95,,,,0,0,No cities found
29.05,-74.95,,,,0,0,No cities found
29.15,-74.95,,,,0,0,No cities found
29.25,-74.95,,,,0,0,No cities found
29.35,-74.95,,,,0,0,No cities found
29.45,-74.95,,,,0,0,No cities found
29.55,-74.95,,,,0,0,No cities found
29.65,-74.95,,,,0,0,No cities found
29.75,-74.95,,,,0,0,No cities found
29.85,-74.95,,,,0,0,No cities found
29.95,-74.95,,,,0,0,No cities found
30.05,-74.95,,,,0,0,No cities found
30.15,-74.95,,,,0,0,No cities found
30.25,-74.95,,,,0,0,No cities found
30.35,-74.95,,,,0,0,No cities found
30.45,-74.95,,,,0,0,No cities found
30.55,-74.95,,,,0,0,No cities found
30.65,-74.95,,,,0,0,No cities found
30.75,-74.95,,,,0,0,No cities found
30.85,-74.95,,,,0,0,No cities found
30.95,-74.95,,,,0,0,No cities found
31.05,-74.95,,,,0,0,No cities found
31.15,-74.95,,,,0,0,No cities found
31.25,-74.95,,,,0,0,No cities found
31.35,-74.95,,,,0,0,No cities found
31.45,-74.95,,,,0,0,No cities found
31.55,-74.95,,,,0,0,No cities found
31.65,-74.95,,,,0,0,No cities found
31.75,-74.95,,,,0,0,No cities found
31.85,-74.95,,,,0,0,No cities found
31.95,-74.95,,,,0,0,No cities found
32.05,-74.95,,,,0,0,No cities found
32.15,-74.95,,,,0,0,No cities found
32.25,-74.95,,,,0,0,No cities found
32.35,-74.95,,,,0,0,No cities found
32.45,-74.95,,,,0,0,No cities found
32.55,-74.95,,,,0,0,No cities found
32.65,-74.95,,,,0,0,No cities found
32.75,-74.95,,,,0,0,No cities found
32.85,-74.95,,,,0,0,No cities found
32.95,-74.95,,,,0,0,No cities found
33.05,-74.95,,,,0,0,No cities found
33.15,-74.95,,,,0,0,No cities found
33.25,-74.95,,,,0,0,No cities found
33.35,-74.95,,,,0,0,No cities found
33.45,-74.95,,,,0,0,No cities found
33.55,-74.95,,,,0,0,No cities found
33.65,-74.95,,,,0,0,No cities found
33.75,-74.95,,,,0,0,No cities found
33.85,-74.95,,,,0,0,No cities found
33.95,-74.95,,,,0,0,No cities found
34.05,-74.95,,,,0,0,No cities found
34.15,-74.95,,,,0,0,No cities found
34.25,-74.95,,,,0,0,No cities found
34.35,-74.95,,,,0,0,No cities found
34.45,-74.95,,,,0,0,No cities found
34.55,-74.95,,,,0,0,No cities found
34.65,-74.95,,,,0,0,No cities found
34.75,-74.95,,,,0,0,No cities found
34.85,-74.95,,,,0,0,No cities found
34.95,-74.95,,,,0,0,No cities found
35.05,-74.95,,,,0,0,No cities found
35.15,-74.95,,,,0,0,No cities found
35.25,-74.95,,,,0,0,No cities found
35.35,-74.95,,,,0,0,No cities found
35.45,-74.95,,,,0,0,No cities found
35.55,-74.95,,,,0,0,No cities found
35.65,-74.95,,,,0,0,No cities found
35.75,-74.95,,,,0,0,No cities found
35.85,-74.95,,,,0,0,No cities found
35.95,-74.95,,,,0,0,No cities found
36.05,-74.95,,,,0,0,No cities found
36.15,-74.95,,,,0,0,No cities found
36.25,-74.95,,,,0,0,No cities found
36.35,-74.95,,,,0,0,No cities found
36.45,-74.95,,,,0,0,No cities found
36.55,-74.95,,,,0,0,No cities found
36.65,-74.95,,,,0,0,No cities found
36.75,-74.95,,,,0,0,No cities found
36.85,-74.95,,,,0,0,No cities found
36.95,-74.95,,,,0,0,No cities found
37.05,-74.95,,,,0,0,No cities found
37.15,-74.95,,,,0,0,No cities found
37.25,-74.95,,,,0,0,No cities found
37.35,-74.95,,,,0,0,No cities found
37.45,-74.95,,,,0,0,No cities found
37.55,-74.95,,,,0,0,No cities found
37.65,-74.95,,,,0,0,No cities found
37.75,-74.95,,,,0,0,No cities found
37.85,-74.95,,,,0,0,No cities found
37.95,-74.95,,,,0,0,No cities found
38.05,-74.95,,,,0,0,No cities found
38.15,-74.95,,,,0,0,No cities found
38.25,-74.95,,,,0,0,No cities found
38.35,-74.95,"MD, MD, DE","Maryland, Maryland, Delaware","Worcester, Worcester, Sussex",12475,1551.6,"Ocean City, West Ocean City, Fenwick Island"
38.45,-74.95,"MD, DE, DE, DE, DE","Maryland, Delaware, Delaware, Delaware, Delaware","Worcester, Sussex, Sussex, Sussex, Sussex",11443,2172,"Ocean City, Ocean View, Bethany Beach, South Bethany, Fenwick Island"
38.55,-74.95,"DE, DE, DE, DE, DE","Delaware, Delaware, Delaware, Delaware, Delaware","Sussex, Sussex, Sussex, Sussex, Sussex",6616,1896.9,"Ocean View, Millville, Bethany Beach, South Bethany, Fenwick Island"
38.65,-74.95,"DE, DE, DE, DE, DE","Delaware, Delaware, Delaware, Delaware, Delaware","Sussex, Sussex, Sussex, Sussex, Sussex",3463,1796.3,"Rehoboth Beach, Bethany Beach, South Bethany, Dewey Beach, Henlopen Acres"
38.75,-74.95,"DE, DE, DE, DE","Delaware, Delaware, Delaware, Delaware","Sussex, Sussex, Sussex, Sussex",5248,1369.8,"Lewes, Rehoboth Beach, Dewey Beach, Henlopen Acres"
38.85,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May",12903,3400.1,"North Cape May, Wildwood Crest, Cape May, Erma, West Cape May, Diamond Beach, Cape May Point"
38.95,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May",38250,8085.8,"Villas, Wildwood, North Cape May, North Wildwood, Rio Grande, Wildwood Crest, Cape May, Whitesboro, Erma, West Cape May, West Wildwood, Burleigh, Diamond Beach, Cape May Point"
39.05,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May, Cape May",44961,8633.9,"Villas, Cape May Court House, Wildwood, North Cape May, North Wildwood, Rio Grande, Wildwood Crest, Cape May, Whitesboro, Erma, West Cape May, Stone Harbor, West Wildwood, Burleigh, Goshen, Diamond Beach, Cape May Point"
39.15,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Cape May, Cape May, Cape May, Cape May, Cape May, Cumberland, Cape May, Cape May, Cape May, Cumberland, Cape May, Cumberland, Cape May, Cumberland, Cumberland, Cape May, Cumberland, Cumberland",31276,3289,"Villas, Cape May Court House, Rio Grande, Whitesboro, Woodbine, Port Norris, South Dennis, Dennisville, South Seaville, Mauricetown, Belleplain, Delmont, Burleigh, Leesburg, Port Elizabeth, Goshen, Heislerville, Dorchester"
39.25,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Cumberland, Cape May, Cumberland, Cape May, Cape May, Cumberland, Cumberland, Cape May, Cumberland, Cumberland, Cumberland, Cape May, Cumberland, Cape May, Cumberland, Cumberland",12169,1894.1,"Laurel Lake, Woodbine, Port Norris, South Dennis, Dennisville, Mauricetown, Dividing Creek, Belleplain, Delmont, Leesburg, Port Elizabeth, Goshen, Heislerville, Marshallville, Cumberland-Hesstown, Dorchester"
39.35,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Cumberland, Cumberland, Cumberland, Atlantic, Cumberland, Cumberland, Atlantic, Atlantic, Atlantic, Cumberland, Cumberland, Atlantic, Cape May, Cumberland, Cumberland, Atlantic, Cumberland, Cumberland, Cape May, Cumberland, Cumberland",128540,2615.6,"Vineland, Millville, Laurel Lake, Estell Manor, Port Norris, Centre Grove, East Vineland, Dorothy, Milmay, Mauricetown, Dividing Creek, Richland, Belleplain, Delmont, Leesburg, Mizpah, Port Elizabeth, Heislerville, Marshallville, Cumberland-Hesstown, Dorchester"
39.45,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Cumberland, Cumberland, Atlantic, Cumberland, Atlantic, Gloucester, Gloucester, Cumberland, Atlantic, Atlantic, Atlantic, Atlantic, Atlantic, Atlantic, Cumberland, Cumberland",132846,4062,"Vineland, Millville, Buena, Laurel Lake, Collings Lakes, Newfield, Malaga, Rosenhayn, East Vineland, Dorothy, Milmay, Newtonville, Richland, Mizpah, Port Elizabeth, Cumberland-Hesstown"
39.55,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Cumberland, Gloucester, Gloucester, Atlantic, Atlantic, Gloucester, Atlantic, Gloucester, Gloucester, Atlantic, Gloucester, Atlantic, Atlantic, Atlantic, Atlantic",128101,4608.7,"Vineland, Williamstown, Clayton, Buena, Collings Lakes, Newfield, Folsom, Franklinville, Malaga, East Vineland, Victory Lakes, Milmay, Newtonville, Richland, Mizpah"
39.65,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Camden, Gloucester, Gloucester, Atlantic, Camden, Gloucester, Camden, Camden, Camden, Atlantic, Gloucester, Atlantic, Gloucester, Atlantic, Gloucester, Gloucester, Camden, Gloucester, Camden, Atlantic",159024,10561.8,"Sicklerville, Glassboro, Williamstown, Hammonton, Pine Hill, Clayton, Atco, Berlin, Clementon, Buena, Turnersville, Collings Lakes, Newfield, Folsom, Franklinville, Malaga, Chesilhurst, Victory Lakes, Grenloch, Newtonville"
39.75,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Camden, Gloucester, Camden, Camden, Gloucester, Camden, Camden, Camden, Burlington, Camden, Gloucester, Gloucester, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Burlington, Gloucester, Camden, Gloucester, Camden, Camden, Gloucester, Camden, Camden, Gloucester, Camden, Camden, Camden",295035,41799.6,"Sicklerville, Glassboro, Lindenwold, Springdale, Williamstown, Echelon, Greentree, Pine Hill, Marlton, Ashland, Pitman, Clayton, Runnemede, Atco, Berlin, Haddon Heights, Barrington, Stratford, Glendora, Somerdale, Clementon, Blackwood, Barclay, Magnolia, Medford Lakes, Sewell, Lawnside, Turnersville, West Berlin, Gibbsboro, Wenonah, Laurel Springs, Chesilhurst, Victory Lakes, Hi-Nella, Grenloch, Tavistock"
39.85,-74.95,"NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ, NJ","New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey, New Jersey","Camden, Camden, Camden, Camden, Burlington, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Burlington, Gloucester, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Burlington, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Gloucester, Burlington, Camden, Camden, Gloucester, Camden, Gloucester, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden, Camden",437479,75617.6,"Camden, Sicklerville, Lindenwold, Springdale, Moorestown-Lenola, Westmont, Echelon, Cherry Hill Mall, Bellmawr, Gloucester City, Greentree, Pine Hill, Marlton, Woodbury, Ashland, Audubon, Runnemede, Atco, Berlin, Haddon Heights, Barrington, Kingston Estates, Stratford, Ramblewood, Glendora, Somerdale, Ellisburg, Clementon, Golden Triangle, Mount Ephraim, Blackwood, Barclay, Magnolia, Westville, Medford Lakes, Oaklyn, Merchantville, Woodbury Heights, Lawnside, Turnersville, Woodlynne, West Berlin, Gibbsboro, Laurel Springs, Brooklawn, Chesilhurst, Audubon Park, Hi-Nella, Grenloch, Tavistock"
